latitude,longitude,OBJECTID,CASE_1,CASE_2,CASE_3,SYMBOL,TIME_ZONE,area
46.8508465210441,-122.467575512268,"54",Y,,,"1",C,17959465.300
46.8479865690157,-122.445168718307,"54",Y,,,"1",C,17959465.300
46.8481797407407,-122.445200685185,"54",Y,,,"1",C,17959465.300
46.8481325338385,-122.472529784414,"54",Y,,,"1",C,17959465.300
46.9634782648173,-122.571714032786,"53",Y,,,"1",D,54884505.360
46.9632785462101,-122.572109589769,"53",Y,,,"1",D,54884505.360
46.9594800757485,-122.579685227246,"53",Y,,,"1",D,54884505.360
46.9596335229944,-122.579573109212,"53",Y,,,"1",D,54884505.360
46.9596422965708,-122.579598427247,"53",Y,,,"1",D,54884505.360
46.9599269513594,-122.577310131092,"53",Y,,,"1",D,54884505.360
46.9599236200527,-122.57730487563,"53",Y,,,"1",D,54884505.360
46.9599202887461,-122.577299620168,"53",Y,,,"1",D,54884505.360
46.9599136261328,-122.577289109243,"53",Y,,,"1",D,54884505.360
46.9599069635195,-122.577278598319,"53",Y,,,"1",D,54884505.360
46.9598969695996,-122.577262831932,"53",Y,,,"1",D,54884505.360
46.9598903069863,-122.577252321008,"53",Y,,,"1",D,54884505.360
46.9600089797396,-122.577085871565,"53",Y,,,"1",D,54884505.360
46.9600123381187,-122.57709114129,"53",Y,,,"1",D,54884505.360
46.9600425635312,-122.577138568816,"53",Y,,,"1",D,54884505.360
46.9612516423297,-122.576824047715,"53",Y,,,"1",D,54884505.360
46.9612199750651,-122.577115192581,"53",Y,,,"1",D,54884505.360
46.9611177723629,-122.576984384936,"53",Y,,,"1",D,54884505.360
46.9611996481259,-122.576747521186,"53",Y,,,"1",D,54884505.360
46.96121692214,-122.576773072332,"53",Y,,,"1",D,54884505.360
46.9612341961541,-122.576798623478,"53",Y,,,"1",D,54884505.360
46.9613674234763,-122.576968407752,"53",Y,,,"1",D,54884505.360
46.9620089211692,-122.576063130794,"53",Y,,,"1",D,54884505.360
46.9619481626405,-122.57594537601,"53",Y,,,"1",D,54884505.360
46.9618935998204,-122.575824340718,"53",Y,,,"1",D,54884505.360
46.9618663184104,-122.575763823073,"53",Y,,,"1",D,54884505.360
46.9618253962954,-122.575673046605,"53",Y,,,"1",D,54884505.360
46.9617554600197,-122.575522565614,"53",Y,,,"1",D,54884505.360
46.9617409034496,-122.575492736577,"53",Y,,,"1",D,54884505.360
46.9618557029004,-122.575311278719,"53",Y,,,"1",D,54884505.360
46.9619999147221,-122.575608048662,"53",Y,,,"1",D,54884505.360
46.9620552196627,-122.575727922822,"53",Y,,,"1",D,54884505.360
46.962929951336,-122.575210570218,"53",Y,,,"1",D,54884505.360
46.9628417566802,-122.57504085109,"53",Y,,,"1",D,54884505.360
46.9627535620243,-122.574871131963,"53",Y,,,"1",D,54884505.360
46.9627094646964,-122.574786272399,"53",Y,,,"1",D,54884505.360
46.9625110267207,-122.574404404362,"53",Y,,,"1",D,54884505.360
46.9624448807288,-122.574277115016,"53",Y,,,"1",D,54884505.360
46.9621092539229,-122.572732158916,"53",Y,,,"1",D,54884505.360
46.9621791419201,-122.57250385931,"53",Y,,,"1",D,54884505.360
46.9622170998263,-122.572416081652,"53",Y,,,"1",D,54884505.360
46.9622616844819,-122.572331484868,"53",Y,,,"1",D,54884505.360
46.9634554010286,-122.570818891981,"53",Y,,,"1",D,54884505.360
46.9622903217596,-122.572743741222,"53",Y,,,"1",D,54884505.360
46.96223630301,-122.573165776253,"53",Y,,,"1",D,54884505.360
46.9630439098416,-122.575032086581,"53",Y,,,"1",D,54884505.360
46.9632875069413,-122.571887022147,"53",Y,,,"1",D,54884505.360
46.9632783332557,-122.572220997205,"53",Y,,,"1",D,54884505.360
46.9632903076906,-122.572499224334,"53",Y,,,"1",D,54884505.360
46.9636049808067,-122.570939391507,"53",Y,,,"1",D,54884505.360
46.9635853448043,-122.571054965969,"53",Y,,,"1",D,54884505.360
46.9635774904034,-122.571101195754,"53",Y,,,"1",D,54884505.360
46.9635115618465,-122.572840690194,"53",Y,,,"1",D,54884505.360
46.9634931720493,-122.572739448727,"53",Y,,,"1",D,54884505.360
46.9634723908688,-122.57258642367,"53",Y,,,"1",D,54884505.360
46.9629023624495,-122.577035625816,"53",Y,,,"1",D,54884505.360
46.9627944278531,-122.577134059258,"53",Y,,,"1",D,54884505.360
46.962744111315,-122.577201012897,"53",Y,,,"1",D,54884505.360
46.9626963335132,-122.577269952556,"53",Y,,,"1",D,54884505.360
46.9626843890628,-122.577287187471,"53",Y,,,"1",D,54884505.360
46.9626237199454,-122.577026343277,"53",Y,,,"1",D,54884505.360
46.9627217516383,-122.576891835607,"53",Y,,,"1",D,54884505.360
46.9628950761012,-122.576767868843,"53",Y,,,"1",D,54884505.360
46.963169714467,-122.57571371489,"53",Y,,,"1",D,54884505.360
46.959428505512,-122.580359412255,"53",Y,,,"1",D,54884505.360
46.9595435158716,-122.580232309943,"53",Y,,,"1",D,54884505.360
46.9633494616492,-122.575691539071,"53",Y,,,"1",D,54884505.360
46.9633059864312,-122.575537364386,"53",Y,,,"1",D,54884505.360
46.9632719405202,-122.575464683461,"53",Y,,,"1",D,54884505.360
46.963232,-122.575395,"53",Y,,,"1",D,54884505.360
46.963177,-122.57704,"53",Y,,,"1",D,54884505.360
46.964669072534,-122.57457610363,"53",Y,,,"1",D,54884505.360
46.964584762381,-122.574648219524,"53",Y,,,"1",D,54884505.360
46.9645130206075,-122.574732854472,"53",Y,,,"1",D,54884505.360
46.9645967848332,-122.574956367724,"53",Y,,,"1",D,54884505.360
46.9646165182909,-122.574931035595,"53",Y,,,"1",D,54884505.360
46.9646688657435,-122.574870231268,"53",Y,,,"1",D,54884505.360
46.9646910664136,-122.574847021477,"53",Y,,,"1",D,54884505.360
46.9647804779794,-122.574779391482,"53",Y,,,"1",D,54884505.360
46.965193,-122.575643,"53",Y,,,"1",D,54884505.360
46.964569,-122.57507,"53",Y,,,"1",D,54884505.360
46.965836646109,-122.576088815328,"53",Y,,,"1",D,54884505.360
46.9664925768379,-122.576392134743,"53",Y,,,"1",D,54884505.360
46.9678300166906,-122.579393061627,"53",Y,,,"1",D,54884505.360
46.9671609583669,-122.577481483548,"53",Y,,,"1",D,54884505.360
46.9661898303386,-122.577058018763,"53",Y,,,"1",D,54884505.360
46.9660569129329,-122.577147223022,"53",Y,,,"1",D,54884505.360
46.9660035096476,-122.577182557526,"53",Y,,,"1",D,54884505.360
46.9657959654022,-122.577048544418,"53",Y,,,"1",D,54884505.360
46.966163597278,-122.576776391413,"53",Y,,,"1",D,54884505.360
46.9643918571429,-122.575284122449,"53",Y,,,"1",D,54884505.360
46.9643747142857,-122.575315244898,"53",Y,,,"1",D,54884505.360
46.9666024145508,-122.576537856474,"53",Y,,,"1",D,54884505.360
46.9676853290829,-122.579538667767,"53",Y,,,"1",D,54884505.360
46.9675067368421,-122.578976631579,"53",Y,,,"1",D,54884505.360
46.9668594690647,-122.578180852752,"53",Y,,,"1",D,54884505.360
46.9668631718327,-122.577917956683,"53",Y,,,"1",D,54884505.360
46.9664799853397,-122.576728729881,"53",Y,,,"1",D,54884505.360
46.965876,-122.581501,"53",Y,,,"1",D,54884505.360
46.9634715012857,-122.570722364977,"53",Y,,,"1",D,54884505.360
46.9634956516714,-122.57057757447,"53",Y,,,"1",D,54884505.360
46.9635198020572,-122.570432783963,"53",Y,,,"1",D,54884505.360
46.9635600527,-122.570191466451,"53",Y,,,"1",D,54884505.360
46.8491813338214,-122.469153384277,"54",Y,,,"1",C,17959465.300
46.8483887271897,-122.471346605674,"54",Y,,,"1",C,17959465.300
47.0564855,-122.7012417,"53",Y,,,"1",D,54884505.360
